,text,label
0,"Kickers on my watchlist XIDE TIT SOQ PNK CPW BPZ AJ  trade method 1 or method 2, see prev posts",1
1,user: AAP MOVIE. 55% return for the FEA/GEED indicator just 15 trades for the year.  AWESOME.  ,1
2,user I'd be afraid to short AMZN - they are looking like a near-monopoly in eBooks and infrastructure-as-a-service,1
3,MNTA Over 12.00  ,1
4,OI  Over 21.37  ,1
5,PGNX  Over 3.04  ,1
6,AAP - user if so then the current downtrend will break. Otherwise just a short-term correction in med-term downtrend.,0
7,Monday's relative weakness. NYX WIN TIE TAP ICE INT BMC AON C CHK BIIB  ,0
8,GOOG - ower trend line channel test & volume support.   ,1
9,AAP will watch tomorrow for ONG entry.,1
10,i'm assuming FCX opens tomorrow above the 34.25 trigger buy. still very much like this setup.  ,1
11,"It really worries me how everyone expects the market to rally now,usually exact opposite happens every time we shall see soon bac spx jpm",1
12,AAP GAMCO's arry Haverty : Apple Is Extremely Cheap  Great Video !!!,1
13,user Maykiljil posted that.  I agree that MSFT is going higher & possibly north of 30,1
14,Momentum is coming back to ETFC Broke MA200 resistance on solid volume Friday. ong set-up  ,1
15,HA Hitting 35.65 means resume targeting 42 level ..  ,1
16,user gameplan shot for today but I liked  on trend break from May or c+h break. OC weekly trend break back to july 2011,1
17,with FCX gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,1
18,"user great list again, particularly like FISV and SYK. All buy & hold types should check the free list out.  ",1
19,ATHX upper trend line   ,1
20,NG - nice PNF BY - breakout - need follow thru  ,1
21,Won't believe AAP uptrend is back until it crosses above MA(50),0
22,X swing still on   ,1
23,SWY - 30% of float short and breaking out - ouch,1
24,BIOF wants 4.90's comin!!!,1
25,VS inverted head and shoulder play out well. Wasn't able to catch the entry. Eyes on it  ,1
26," red, not ready for break out.",0
27,EI close to breaking out now.  My trigger is at 30.40.   ,1
28,user BAC For a quick Trade to late..But for investing ~11.98 is a good entry point IMHO,1
29,"CHDN - ong   49.02. Trailing Stop  56.66 from 6 prior Stops of 54.17, 49.88, 49.82, 45.47, 43.02 & 41.92 -  ",1
30,AAP VOME today is impressive. At this rate and well probably get to 30M shares traded today.,1
31,"user: been adding VXY long off the bottom today for trade, also got WPI near low",0
32,"I repeat, if global economy is going to get better this year go with C instead of BAC",1
33,GOOG go ONG on close above 725.,1
34,NKD looking like a good short. Failed to break price level resistance at 116 today.,0
35,GS like the price action. So far holding above 130. Still deciding whether to go ONG calls or stocks.,1
36,SBX buy when it clears resistance at 54.5,1
37,here is NEW up target for AAP and notice shakeout reading at -8.49 ! and we had buy dot Monday  ,1
38,Too early to short into this move. Stock Market needs a few days to settle down. #Patience  COH BWD DT AAP PAY,0
39,AAP obbers hit Apple Store in Paris.  Prefer to take merchendise over cash.  Bullish.  ,1
40,AXA Here is my tip of the day. Buy now! You do not even have to sign up for a newsletter or anything O If I'm wrong I will eat crow :),1
41,X out the 1/2 due to the move today and the Kirby on the daily around 26.00 - still swinging 1/2  ,1
42,"AAP 10 min short won now longs have fully added in, look for a pop here with market,shakeout reset  ",1
43,NG stellar move - still long swing - full position - I believe user & user in it 2  ,1
44,ATICE & TADE SETP:  KO AN CNX,1
45,IDCC 50SMA acting as a good support. Short-term momentum indicators have switched to the upside.  ,1
46,"NEW POST: BAC Is At 19 Month Highs, But Showing Signs of Stress  ",1
47,c two daily  bull flags on top of each other=bullish still  ,1
48,NG - traditional and AT point and figure - bullish BY signals multiyear high  ,1
49,jpm closed>10sma on Monday(u know my rules)...large cup n handle....still bullish  ,1
50,EOG ascending triangle - original target 127 extension EPS Feb 11th? 1/2 position swing  ,1
51,"aapl daily , broke downtrend(from closing prices) now w v pattern back in play.......600 target  ",1
52,PHM PulteGroup Option Bear bets 1.5 Million on 11% down move by April  ,0
53,BAC In a 11.97 for a trade,1
54,Short Setups displaying relative weakness: AO COH PAY BWD DT SHD WTW P Prepare to short the stall. ES_F  ,0
55,"When AMZN monetize all electronics it makes with traffic to marketplace, AAP GOOG will wake up and say why didn't we buy EBAY",1
56,"CVI starting with a clean book, making first buy of the yr - entry 49.54 stop 47.43  ",1
57,SAM cheers to the temporary solution to our economic woes - entry 139.81 stop 131.92  ,1
58,SK to the GAVE!,0
59,ovti ttm ending Oct 2012 Negative 151 million operational cash flow.. 273% decline vs yoy ttm ending oct 2011,0
60,AAP and GOOG should respond positively to good jobless claims numbers,1
61,Analyst price targets and earnings targets coming down---EXACTY what you want to see prior AAP reporting.,1
62,user Nice! Color me an INTC bull as well!,1
63,"Heads p: AA Earnings (1/8/13) ess Than a Week Away, Tho The Season Doesn't EAY Begin Cranking 'Til 1/16 w/ GS JPM EBAY et al...",1
64,"trade idea buy WO  market 26.64, target 36, cut below 23.50  ",1
65,"Trade idea buy DC  market 58.50, target 67 , cut below 53  ",1
66,GOOG looks all set to make new ATH. Now before or after E is the unknown.,1
67,GOOG trade this one long verse 10sma  ,1
68,"FNF - ong  19.43. Trailing Stop  21.04 from 6 prior Stops of 19.71, 19.52, 18.70, 18.65, 18.07 and 17.87 -  ",1
69,"FOD should see a solid move up tom, system predict nice green candle.",1
70,This is the year of fitness and health apps...the winners will be gynormous and the speculation will run high  nke,1
71,It's time to invest in MSFT COMPQ   ,1
72,"New Post: Shorts Will Make Dimes, ongs Will Make Dollars  AAP SPX QQQ P",1
73,nbelieveable payment trend that VC's are chasing has easily played out in public markets.... EBAY V and Mastercard MA all time highs,1
74,Some of the watch list stocks that triggered today OEX AGNX TV VBD XIDE PPC EXP  ONTY  BMN FS WK CHMT FBC  ISI AIG,1
